Service_Name|Version|Version_Category|Implementation_Status|Regions|Flight_Phases|Data_Stakeholders|Data_Category|Activity_Category|Data_Exchange_Standards
1SpatialCloud|1|Current and Supported|Ready for consumption|['Global']|Airport (ramp)|['Airport Operator', 'Airspace User']|['Aeronautical Information']|['Aeronautical Information Management', 'Airport Management']|
ACDMGlobalGateway|3.0.0|Current and Supported|Ready for consumption|['Africa', 'Asia', 'Europe', 'Global', 'North America', 'South America']|Airport (ramp)|[]|[]|['Traffic Sequencing', 'Airport CDM', 'Traffic Synchronisation', 'Demand And Capacity Balancing']|
AerodromeMapInformationService|1||Current and Supported|['Asia', 'Europe', 'Global', 'North America']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Other']|['Collision Avoidance', 'Airport Management', 'Airport CDM', 'Trajectory Management', 'Trajectory Execution And Conformance Monitoring', 'Trajectory Planning', 'Airspace  And Surface Structure  Design', 'Airspace And Surface Structure Allocation']|
AeronauticalDataValidationService|1|Current and Supported|Ready for consumption|['Europe', 'Global']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Flight', 'Aeronautical Information', 'Other']|['Communication Infrastructure', 'ATM Information Management', 'Aeronautical Information Management', 'Airport Management', 'Trajectory Management', 'Trajectory Planning', 'Route Assignment And Guidance', 'Route Design', 'Airspace  And Surface Structure  Design']|['AIXM', 'WXXM', 'iWXXM']
AeronauticalInformationFeatureService|1|Current and Supported|Ready for consumption|['Global']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Aeronautical Information']|['ATM Information Management', 'Aeronautical Information Management', 'Airport Management', 'Route Design', 'Airspace  And Surface Structure  Design', 'Airspace And Surface Structure Allocation', 'Airspace Access']|
AeronauticalInformationNotificationService(AINS)|v 23 |Current and Supported|Ready for consumption|[]||['Airspace User', 'ANSP']|['Aeronautical Information']|[]|
AeronauticalMETmessageservice|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Airport Management', 'Trajectory Management', 'Trajectory Planning', 'Airspace And Surface Structure Allocation']|
AeronauticalInformationFeatureService|1|Current and Supported|Ready for consumption|['Global']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Aeronautical Information', 'Meteorology']|['ATM Information Management', 'Aeronautical Information Management', 'Meteorological Information', 'MET Information Management', 'Airport Management']|['AIXM', 'WXXM', 'iWXXM', 'AMXM', 'AMXM']
AeronauticalInformationMap|1|Current and Supported|Ready for consumption|['Europe']|Airport (ramp)|[]|['Aeronautical Information']|[]|
AeronauticalInformationNotificationService|1||Current and Supported|['Global']||['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Aeronautical Information']|['Aeronautical Information Management']|
AIDCService||||['Europe', 'Global', 'North America']|En-route|[]|['Flight']|[]|
AIMService|19.5|Current and Supported|Ready for consumption|[]|Airport (ramp)|['Airspace User']|['Aeronautical Information']|['ATM Information Management', 'Aeronautical Information Management']|[]
AirportFlightObjectdistributionservice|1|Current and Supported|Terminated|['Europe']|Take Off|['Airspace User', 'ANSP']|['Flight']|['Flight Information Management']|['FIXM']
AirportMETInducedCapacityReductionService|1|Non Supported|Terminated|['Europe']|Airport (ramp)|['Airspace User', 'ANSP']|['Capacity Demand and Flow']|['ATM Information Management', 'Demand And Capacity Balancing']|[]
AirportMetNowcastService|1|Non Supported|Terminated|['Europe']|Airport (ramp)|['Airspace User', 'ANSP']|['Meteorology']|['MET Information Management', 'Airport Management', 'Demand And Capacity Balancing']|[]
AirportMetForecastService|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Meteorology']|['MET Information Management']|[]
AirportMETObservationService|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Meteorology']|['MET Information Management']|[]
AirspaceAvailibilityservice|19.5|Current and Supported|Ready for consumption|['Europe']||[]|['Aeronautical Information']|['Aeronautical Information Management']|['AIXM']
AirspaceStructureKMLservice|1|Non Supported|Terminated|['Global']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Flight', 'Aeronautical Information', 'Other']|['ATM Information Management', 'Airspace  And Surface Structure  Design', 'Airspace And Surface Structure Allocation']|[]
AirspaceStructureService|19.5|Current and Supported|Ready for consumption|['Europe']||[]|['Aeronautical Information']|['Aeronautical Information Management']|['AIXM']
AIXM2KMLTranslationservice|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airspace User', 'ANSP']|['Flight', 'Aeronautical Information', 'Meteorology', 'Environment', 'Capacity Demand and Flow']|['ATM Information Management', 'Aeronautical Information Management', 'Flight Information Management', 'MET Information Management', 'Airport Management', 'Airport CDM', 'ATM Network Management', 'Airspace  And Surface Structure  Design', 'Airspace And Surface Structure Allocation', 'Demand And Capacity Balancing']|
ATCFlightObjectControlservice||||[]|En-route|[]|['Flight']|[]|
AviationStatisticDataService|1|Current and Supported|Ready for consumption|['Global']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Flight', 'Aeronautical Information', 'Environment']|['ATM Information Management', 'Aeronautical Information Management', 'Flight Information Management', 'Shared Information Service Management', 'Airport CDM']|
AxLSDO5.1.Service|1|Obsolete but Supported|Terminated|['Global']|Airport (ramp)|['Airspace User', 'ANSP']|['Aeronautical Information']|['ATM Information Management', 'Aeronautical Information Management', 'Shared Information Service Management', 'Airport Management', 'Airport CDM']|[]
ConSA(ContrailServiceforAviation)|01.00.00|Non Supported|Under development|['Europe', 'Global']|En-route|['Airspace User', 'ANSP', 'Network Manager']|['Flight', 'Meteorology', 'Environment']|['Meteorological Information', 'MET Information Management', 'Trajectory Execution And Conformance Monitoring', 'Trajectory Planning', 'Airspace  And Surface Structure  Design']|['WXXM']
DigitalNOTAMdistributionservices|1|Current and Supported|Under development|['Europe']|Departure|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Aeronautical Information']|['Aeronautical Information Management', 'Conflict Management', 'Airport Management']|['AIXM']
EAD|1|Current and Supported|Ready for consumption|['Global']||['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Aeronautical Information']|[]|
EFBSEAACCESS|0.1|||[]||[]|[]|[]|
EUROCONTROLSurveillanceInformationService||||['Europe']|En-route|['Airspace User', 'ANSP']|['Surveillance']|['Surveillance Infrastructure', 'Flight Information Management']|[]
ExtendedRunwayManagementService|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Flight', 'Capacity Demand and Flow']|['Airport Management', 'Airport CDM', 'Demand And Capacity Balancing']|
FlightInformationService:AustralianAirspace|1|Non Supported|Ready for consumption|['Oceania']|Departure|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Flight', 'Surveillance']|['ATM Information Management', 'Flight Information Management']|[]
FlightObjectExchangeService(FOXS)|1|||[]||[]|[]|[]|[]
FlightAwareADS-Bdataservice|1|Current and Supported|Under development|[]|Airport (ramp)|[]|['Flight', 'Surveillance']|['CNS Infrastructure', 'Surveillance Infrastructure']|
FlightFilingService|19.5|Current and Supported|Ready for consumption|['Europe']||['Airspace User', 'Network Manager']|['Flight']|['ATM Network Management']|[]
FlightManagementService|19.5|Current and Supported|Ready for consumption|[]||[]|['Flight']|['ATM Network Management']|[]
FlightPlanInformationService||||['Europe']|Departure|[]|[]|['Trajectory Execution And Conformance Monitoring', 'Trajectory Planning']|
FlightPreparationService|19.5|Current and Supported|Ready for consumption|['Europe']||[]|['Flight']|['ATM Network Management']|[]
Flightradar24ADS-Blivestream|1||Ready for consumption|['Global']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Flight', 'Aeronautical Information', 'Meteorology', 'Environment', 'Capacity Demand and Flow', 'Surveillance']|['Traffic Sequencing', 'CNS Infrastructure', 'Surveillance Infrastructure', 'ATM Information Management', 'Aeronautical Information Management', 'Flight Information Management', 'Meteorological Information', 'MET Information Management', 'Shared Information Service Management', 'Conflict Management', 'Airport Management', 'Airport CDM', 'Trajectory Planning', 'ATM Network Management', 'Traffic Synchronisation', 'Route Design', 'Airspace  And Surface Structure  Design', 'Airspace And Surface Structure Allocation', 'Airspace Access', 'Demand And Capacity Balancing']|[]
FOXS||||['Europe', 'North America']|En-route|[]|[]|['Trajectory Management', 'Trajectory Planning']|
GCAADigitalNOTAM-SESARSWIMGlobalDemonstration|0.1|Current and Supported|Ready for consumption|['Asia']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Aeronautical Information']|['ATM Information Management', 'Aeronautical Information Management']|['AIXM']
GeodecticCalculationServices(GCS)|2|Non Supported|Ready for consumption|['Global']|En-route|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Flight', 'Aeronautical Information']|['ATM Information Management', 'Aeronautical Information Management', 'Flight Information Management', 'ATM Network Management', 'Route Design']|[]
GNSSMonitoringService|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|[]|['Flight', 'Capacity Demand and Flow']|['CNS Infrastructure', 'Surveillance Infrastructure', 'Navigtion Infrastructure', 'ATM Information Management', 'Flight Information Management', 'Airport Management', 'Airport CDM', 'ATM Network Management', 'Demand And Capacity Balancing']|[]
MeasuresService|19.5|Current and Supported|Ready for consumption|['Europe']||[]|['Aeronautical Information']|['Shared Information Service Management']|[]
MET4DWxCubeWeatherCube|2.0.0|Current and Supported|Ready for consumption|['Africa', 'Asia', 'Europe', 'Global', 'North America', 'Oceania', 'South America']|Take Off|['Airport Operator', 'Airspace User', 'ANSP', 'Network Manager']|['Meteorology']|['Traffic Sequencing', 'Meteorological Information', 'MET Information Management', 'Separation Provision', 'Trajectory Management', 'Trajectory Planning', 'Traffic Synchronisation', 'Airspace And Surface Structure Allocation', 'Demand And Capacity Balancing']|
METatairportservice|1|Current and Supported|Under development|['Europe']|Airport (ramp)|['Airport Operator']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Airport Management']|
MetHazardsService|1|Current and Supported|Terminated|['Africa', 'Europe', 'North America']|Take Off|['Airspace User', 'ANSP']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Trajectory Management', 'Trajectory Planning', 'Airspace And Surface Structure Allocation']|[]
METARService|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Aeronautical Information', 'Meteorology']|['ATM Information Management', 'MET Information Management', 'Airport Management']|['iWXXM']
MeteorologicalDataService|1||Current and Supported|['Europe', 'Global']|Airport (ramp)|['Airport Operator', 'Airspace User', 'ANSP']|['Meteorology']|['Meteorological Information', 'MET Information Management']|
MeteoService||||['Europe']|Departure|[]|[]|['Meteorological Information']|
NMB2BCommonServices|19.5|Current and Supported|Ready for consumption|[]||[]|[]|[]|[]
NOTAMDistributionService|1|Upcoming not Supported|Under development|['Europe', 'North America']|En-route|['Airspace User']|['Aeronautical Information']|['Trajectory Management', 'Trajectory Planning']|
RPASVeryLowLevelOperationsCoordination(VLLOC)Platform-NotificationService|1|Current and Supported|Ready for consumption|['Europe']|En-route|['ANSP', 'Network Manager']|['Flight', 'Environment']|['Surveillance Infrastructure', 'ATM Information Management', 'Flight Information Management']|
RPASVeryLowLevelOperationsCoordination(VLLOC)Platform-ValidationService|1|Current and Supported|Ready for consumption|['Europe']|En-route|['ANSP', 'Network Manager']|['Flight', 'Environment']|['Surveillance Infrastructure', 'ATM Information Management', 'Flight Information Management']|['AIXM']
SEAACARSInterface|0.1|||[]||[]|[]|[]|
SESAR11.24DWeatherCube-AirportMETforecastservice|1|Current and Supported|Ready for consumption|['Europe']|Airport (ramp)|['Airport Operator']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Airport Management']|[]
SESAR11.24DWeatherCube-AirportMETobservationservice|1|Current and Supported|Terminated|['Europe']|Airport (ramp)|['Airport Operator']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Airport Management']|
SESAR11.24DWeatherCube-METgriddedforecastservice|1|Current and Supported|Ready for consumption|['Europe']|En-route|['Airspace User', 'ANSP', 'Network Manager']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Trajectory Management', 'Airspace And Surface Structure Allocation']|
SESAR11.24DWeatherCube-METHazardEnRouteforecastservice|1|Current and Supported|Ready for consumption|['Europe']|En-route|['Airspace User', 'ANSP', 'Network Manager']|['Meteorology']|['Meteorological Information', 'MET Information Management', 'Trajectory Management', 'Airspace And Surface Structure Allocation']|
