Service_Name|messageName|messageDescription|direction
AcknowledgeWeatherReport(WMSCR)|wmscr:AcknowledgeReportMessage|Used by clients to submit altimeter setting reports that are stored in the database for later dissemination. |In
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|CreatePullPointRequest|Allows user to request a PullPoint resource |In
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|CreatePullPointResponse|Responds to users request to create a PullPoint resource |Out
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|DestroyPullPointRequest|Allows user to terminate a PullPoint resource|In
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|DestroyPullPointResponse|Responds to users request to terminate a PullPoint resource |Out
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|GetPullPointMessagesRequest|Allows user to get a PullPoint message |In
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|GetPullPointMessagesResponse|Responds to users request to get a PullPoint message.|Out
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|GetResourcePropertyRequest|Limited to a max of 24 hours worth of messages. |In
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|GetResourcePropertyResponse|Allows user to request NotificationProducer resource properties |Out
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|RenewRequest|Responds to users request with NotifcationProducer resource property settings |In
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|RenewResponse|Allows user to request for an update to their subscription |Out
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|SubscribeRequest|Responds to the users request to update an existing Repository subscription|In
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|SubscribeResponse|Allows user to request for a new subscription to AI |Out
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|UnsubscribeRequest|Responds to the users request for a new subscription |In
AeronauticalCommonServicesDataSubscription(ACS-DS)Deprecated|UnsubscribeResponse|Allows user to request to delete an existing subscription |Out
AeronauticalCommonServicesAirspaceConflictDetection(ACS-ACD)|UnsubscribeResponse|Allows user to request to delete an existing subscription |Out
AeronauticalCommonServicesBusinessProcess(ACS-BP)|CreateBusinessProcessRequest|Allows user to request to create Business Processes|In
AeronauticalCommonServicesBusinessProcess(ACS-BP)|CreateBusinessProcessResponse|Responds to users to create Business Processes|Out
AeronauticalCommonServicesBusinessProcess(ACS-BP)|DeleteBusinessProcessRequest|Allows user to request to delete Business Processes |In
AeronauticalCommonServicesBusinessProcess(ACS-BP)|DeleteBusinessProcessResponse|Responds to users to delete Business Processes|Out
AeronauticalCommonServicesBusinessProcess(ACS-BP)|EditBusinessProcessRequest|Allows user to request to edit Business Processes|In
AeronauticalCommonServicesBusinessProcess(ACS-BP)|EditBusinessProcessResponse|Responds to users to edit Business Processes|Out
AeronauticalCommonServicesBusinessProcess(ACS-BP)|ListBusinessProcessesRequest|Allows user to list Business Processes.|In
AeronauticalCommonServicesBusinessProcess(ACS-BP)|ListBusinessProcessesResponse |Responds to users request to create Business Process.|Out
AeronauticalCommonServicesBusinessProcess(ACS-BP)|StartODSConflictReviewBusinessP rocessResponse|Responds to users request to start ODS conflict review for a Business Process workflow|Out
AeronauticalCommonServicesBusinessProcess(ACS-BP)|StartODSConflictReviewBusinessProcessRequest|Allows user to request to start ODS conflict review for a Business Process workflow.|In
AeronauticalCommonServicesBusinessProcess(ACS-BP)|StopBusinessProcessRequest|Allows user to request to stop Business Processes |In
AeronauticalCommonServicesBusinessProcess(ACS-BP)|StopBusinessProcessResponse|Responds to users to stop Business Processes|Out
AeronauticalCommonServicesBusinessRule(ACS-BR)|DeployBusinessRuleRequest|Allows user to request to deploy Business Rules |In
AeronauticalCommonServicesBusinessRule(ACS-BR)|DeployBusinessRuleResponse|Responds to users request to deploy Business Rules |Out
AeronauticalCommonServicesBusinessRule(ACS-BR)|EditBusinessRuleRequest|Allows user to read Business Rules|In
AeronauticalCommonServicesBusinessRule(ACS-BR)|EditBusinessRuleResponse|Responds to users request to read Business Rules|Out
AeronauticalCommonServicesDataQuery(ACS-DQ)V2.0|EditBusinessRuleResponse|Responds to users request to read Business Rules|Out
AeronauticalCommonServicesDataSubscription(ACS-DS)(v2.0)|EditBusinessRuleResponse|Responds to users request to read Business Rules|Out
AeronauticalCommonServicesDataVerification(ACS-DV)|EditBusinessRuleResponse|Responds to users request to read Business Rules|Out
AeronauticalCommonServicesGeodeticComputation(ACS-GC)|EditBusinessRuleResponse|Responds to users request to read Business Rules|Out
AeronauticalCommonServicesNotificationConsumer|EditBusinessRuleResponse|Responds to users request to read Business Rules|Out
AeronauticalCommonServicesPostOpMetrics(ACS-POM)|EditBusinessRuleResponse|Responds to users request to read Business Rules|Out
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|CreateStoredQueryRequest|Allows user to request for the system to store the query|In
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|CreateStoredQueryResponse|Responds to the users request to store the query|Out
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|DescribeFeatureTypeRequest|Allows user to request to get the feature type|In
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|DescribeFeatureTypeResponse|Responds to the request to get the feature type|Out
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|DescribeStoredQueriesRequest|Allows user to request a description of the stored queries|In
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|DescribeStoredQueriesResponse|Responds to the users request to get the description of the stored queries |Out
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|DropStoredQueryRequest|Allows user to request to drop a stored query|In
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|DropStoredQueryResponse|Responds to the users request to drop the query|Out
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|GetCapabilitiesRequest|Allows user to retrieve capabilities|In
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|GetCapabilitiesResponse|Responds to the request to get capabilities|Out
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|GetFeatureRequest|Allows user to retrieve features|In
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|GetFeatureResponse|Responds to the request to get features |Out
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|GetPropertyValueRequest|Allows user to request to get the property value |In
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|GetPropertyValueResponse|Responds to the request to get the property value |Out
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|ListStoredQueriesRequest|Allows user to request to get the stored queries |In
AeronauticalCommonServicesWebFeatureService(ACS-WFS)Deprecated|ListStoredQueriesResponse|Responds to the users request to get the stored queries|Out
AeronauticalCommonServicesWebFeatureService(ACS-WFS)v2.0|ListStoredQueriesResponse|Responds to the users request to get the stored queries|Out
AeronauticalCommonServicesWMS(ACS-WMS)|ListStoredQueriesResponse|Responds to the users request to get the stored queries|Out
AeronauticalCommonServicesWMTS(ACS-WMTS)|ListStoredQueriesResponse|Responds to the users request to get the stored queries|Out
AeronauticalFeatureData|ListStoredQueriesResponse|Responds to the users request to get the stored queries|Out
AeronauticalInformationAuthoriativeSourceNotificationService(AIASNotificationService)|OASChangeNotification|Contains an instance / fragement of Obstacle as a payload along with message headers. The payload Obstacle is an AIXM Message. |Out
AeronauticalInformationAuthoritativeSourceDataServiceWFS(AIASDataServiceWFS)|OASChangeNotification|Contains an instance / fragement of Obstacle as a payload along with message headers. The payload Obstacle is an AIXM Message. |Out
CDDSWCSGriddedWeatherProducts(CIWSWCS)|GetCoverageResponse|Group of coverages that can be used as the response from the WCS GetCoverage operation, allowing each coverage to include or reference multiple files. This Coverages element may also be used for outputs from, or inputs to, other OWS operations.|Out
CDDSWCSGriddedWeatherProducts(CIWSWCS)|DescribeCoverageRequest|Request to a WCS to perform the DescribeCoverage operation. In this XML encoding, no "request" parameter is included, since the element name specifies the specific operation.|In
CDDSWCSGriddedWeatherProducts(CIWSWCS)|DescribeCoverageResponse|Response from a WCS DescribeCoverage operation, containing one or more coverage descriptions.|Out
CDDSWCSGriddedWeatherProducts(CIWSWCS)|GetCapabilitiesRequest|Request to a WCS server to perform the GetCapabilities operation. This operation allows a client to retrieve a Capabilities XML document providing metadata for the specific WCS server. In this XML encoding, no "request" parameter is included, since the element name specifies the specific operation.|In
CDDSWCSGriddedWeatherProducts(CIWSWCS)|GetCapabilitiesResp[onse|XML encoded WCS GetCapabilities operation response. The Capabilities document provides clients with service metadata about a specific service instance, including metadata about the coverages served. If the server does not implement the updateSequence parameter, the server shall always return the Capabilities document, without the updateSequence parameter. When the server implements the updateSequence parameter and the GetCapabilities operation request included the updateSequence parameter with the current value, the server shall return this element with only the "version" and "updateSequence" attributes. Otherwise, all optional sections shall be included or not depending on the actual value of the Contents parameter in the GetCapabilities operation request.|Out
CDDSWCSGriddedWeatherProducts(CIWSWCS)|GetCoverageRequest|Request to a WCS to perform the GetCoverage operation. This operation allows a client to retrieve a subset of one coverage. In this XML encoding, no "request" parameter is included, since the element name specifies the specific operation.|In
CDDSWFSNonGriddedWeatherProducts(CIWSWFS)|TransactionRequest|Request to a WFS server to perform the Transaction operation. This operation requests allowed transaction types.|In
CDDSWFSNonGriddedWeatherProducts(CIWSWFS)|TransactionResponse|Response to a TransactionRequest. This operation provides the requested transaction type.|Out
CDDSWFSNonGriddedWeatherProducts(CIWSWFS)|DescribeFeatureTypeRequest|Request to a WFS server to perform the DescribeFeatureType operation. This operation requests a description for a particular feature.|In
CDDSWFSNonGriddedWeatherProducts(CIWSWFS)|DescribeFeatureTypeResponse|Response to a DescribeFeatureTypeRequest. This operation provides a description of the requested feature.|Out
CDDSWFSNonGriddedWeatherProducts(CIWSWFS)|GetCapabilitiesRequest|Request to a WFS server to perform the GetCapabilities operation. This operation allows a client to retrieve a Capabilities XML document providing metadata for the specific WFS server.|In
CDDSWFSNonGriddedWeatherProducts(CIWSWFS)|GetCapabilitiesResponse|Response to a GetCapabilitiesRequest. This operation provides a list of feature types and filtering capabilities.|Out
CDDSWFSNonGriddedWeatherProducts(CIWSWFS)|GetFeatureRequest|Request to a WFS server to perform the GetFeature operation. This operation requests a particular feature.|In
